,ranking,critic_score,title,number_of_critic_ratings
0,1,99,The Wizard of Oz (1939),110
1,2,100,Citizen Kane (1941),75
2,3,100,The Third Man (1949),77
3,4,99,Get Out (2017),282
4,5,97,Mad Max: Fury Road (2015),370
5,6,100,The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),49
6,7,100,All About Eve (1950),64
7,8,98,Inside Out (2015),324
8,9,99,The Godfather (1972),85
9,10,99,Metropolis (1927),116
10,11,98,E.T. The Extra-Terrestrial (1982),114
11,12,100,Modern Times (1936),53
12,13,98,It Happened One Night (1934),52
13,14,100,Singin' in the Rain (1952),49
14,15,98,Boyhood (2014),283
15,16,97,Casablanca (1942),74
16,17,98,Moonlight (2016),292
17,18,97,Psycho (1960),86
18,19,100,Laura (1944),60
19,20,97,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",62
20,21,98,Snow White and the Seven Dwarfs (1937),47
21,22,98,A Hard Day's Night (1964),104
22,23,97,La Grande illusion (Grand Illusion) (1938),63
23,24,100,North by Northwest (1959),65
24,25,99,The Battle of Algiers (La Battaglia di Algeri) (1967),83
25,26,93,Dunkirk (2017),337
26,27,100,The Maltese Falcon (1941),50
27,28,100,Repulsion (1965),60
28,29,96,12 Years a Slave (2013),316
29,30,96,Gravity (2013),315
30,31,98,Sunset Boulevard (1950),60
31,32,98,King Kong (1933),54
32,33,96,Spotlight (2015),311
33,34,100,The Adventures of Robin Hood (1938),45
34,35,100,Rashômon (1951),50
35,36,100,Rear Window (1954),63
36,37,99,Selma (2015),236
37,38,99,Taxi Driver (1976),77
38,39,99,Toy Story 3 (2010),291
39,40,96,Argo (2012),313
40,41,100,Toy Story 2 (1999),163
41,42,98,The Big Sick (2017),217
42,43,100,The Bride of Frankenstein (1935),41
43,44,98,Zootopia (2016),249
44,45,100,M (1931),51
45,46,92,Wonder Woman (2017),333
46,47,100,The Philadelphia Story (1940),54
47,48,97,Alien (1979),104
48,49,98,Bicycle Thieves (Ladri di biciclette) (1949),56
49,50,100,Seven Samurai (Shichinin no Samurai) (1956),57
50,51,100,The Treasure of the Sierra Madre (1948),45
51,52,98,Up (2009),286
52,53,100,12 Angry Men (Twelve Angry Men) (1957),49
53,54,100,The 400 Blows (Les Quatre cents coups) (1959),54
54,55,93,Logan (2017),309
55,56,100,All Quiet on the Western Front (1930),40
56,57,97,Army of Shadows (L'Armée des ombres) (1969),73
57,58,94,Arrival (2016),333
58,59,93,Baby Driver (2017),283
59,60,98,A Streetcar Named Desire (1951),54
60,61,98,The Night of the Hunter (1955),64
61,62,92,Star Wars: Episode VII - The Force Awakens (2015),370
62,63,96,Manchester by the Sea (2016),278
63,64,99,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),74
64,65,100,Frankenstein (1931),45
65,66,97,Vertigo (1958),64
66,67,94,The Dark Knight (2008),325
67,68,96,Touch of Evil (1958),70
68,69,98,The Babadook (2014),214
69,70,100,The Conformist (1970),50
70,71,100,Rebecca (1940),48
71,72,99,Rosemary's Baby (1968),69
72,73,99,Finding Nemo (2003),256
73,74,97,Brooklyn (2015),243
74,75,98,The Wrestler (2008),222
75,76,98,The 39 Steps (1935),44
76,77,99,L.A. Confidential (1997),108
77,78,94,Gone With the Wind (1939),83
78,79,97,"The Good, the Bad and the Ugly (1966)",68
79,80,93,Skyfall (2012),349
80,81,100,Open City (1946),41
81,82,100,Tokyo Story (Tôkyô monogatari) (1953),42
82,83,97,Hell or High Water (2016),237
83,84,100,Pinocchio (1940),45
84,85,95,The Jungle Book (2016),284
85,86,92,La La Land (2016),358
86,87,95,Star Trek (2009),336
87,88,96,High Noon (1952),50
88,89,98,Apocalypse Now (1979),80
89,90,98,On the Waterfront (1954),61
90,91,100,The Wages of Fear (1953),40
91,92,100,The Last Picture Show (1971),51
92,93,96,Harry Potter and the Deathly Hallows - Part 2 (2011),314
93,94,100,The Grapes of Wrath (1940),43
94,95,98,Roman Holiday (1953),52
95,96,100,Man on Wire (2008),156
96,97,97,Jaws (1975),74
97,98,100,Toy Story (1995),78
98,99,97,"The Godfather, Part II (1974)",72
99,100,100,Battleship Potemkin (1925),45
